course_id,Enrol_Num,Course_name,course_code,on_demand,on_demand_duration,Month,Year,Minimum_Enrolment,prerequisite_course_code,credit,learning_hours,course_fee,maximum_capacity,is_external,Month_Diff
485,10,CCMC01,CCMC,0,\N,MAY,2015,0,"[""CHEM"",""ONSC"",""PSCB""]",0,5,0,700,0,5
556,95,CCMC01,CCMC,0,\N,MAY,2016,0,"[""CHEM"",""ONSC"",""PSCB""]",0,5,113,700,0,17
661,92,CCMC01,CCMC,0,\N,MAY,2017,0,"[""CHEM"",""ONSC"",""PSCB""]",0,5,113,700,0,29
733,88,CCMC01,CCMC,0,\N,MAY,2018,0,"[""CHEM"",""ONSC"",""PSCB""]",0,5,113,700,0,41
