course_id,Enrol_Num,Course_name,course_code,on_demand,on_demand_duration,Month,Year,Minimum_Enrolment,prerequisite_course_code,credit,learning_hours,course_fee,maximum_capacity,is_external,Month_Diff
487,117,CCMC01,CCMC,0,\N,JUL,2015,0,"[""CHEM"",""ONSC"",""PSCB""]",0,5,0,700,0,6
565,135,CCMC01,CCMC,0,\N,JUL,2016,0,"[""CHEM"",""ONSC"",""PSCB""]",0,5,113,700,0,18
694,108,CCMC01,CCMC,0,\N,JUL,2017,0,"[""CHEM"",""ONSC"",""PSCB""]",0,5,113,700,0,30
760,50,CCMC01,CCMC,0,\N,JUL,2018,0,"[""CHEM"",""ONSC"",""PSCB""]",0,5,113,700,0,42
