course_id,Enrol_Num,Course_name,course_code,on_demand,on_demand_duration,Month,Year,Minimum_Enrolment,prerequisite_course_code,credit,learning_hours,course_fee,maximum_capacity,is_external,Month_Diff
535,50,FONP03,FONP,0,\N,MAR,2016,0,\N,0.75,40,399,500,0,12
640,131,FONP03,FONP,0,\N,MAR,2017,0,\N,0.75,40,399,500,0,24
756,55,FONP03,FONP,0,\N,MAR,2018,0,\N,0.75,40,399,500,0,36
